조직명,주소,E-MAIL,전화번호,FAX번호,우편번호,주소(영문),조직명(영문)
파주지소,경기도 파주시 금바위로 42 운정법조타운 8층 818호(와동동 1384),klac3121@klac.or.kr,031-937-8500,031-839-0913,10894,"Unjeong Beopjo Town BD 8F 818, 42, Geumbawi-ro, Paju-si, Gyeonggi-do, Republic of Korea",Paju Sub Branch
남양주출장소,경기도 남양주시 다산지금로16번길 87 (다산동) 강산타워 804호 및 805호,klac3123@klac.or.kr,031-523-9202,031-568-8617,12284,"87, Dasanjigeum-ro 16beon-gil, Namyangju-si, Gyeonggi-do",Namyangju Branch
가평지소,"경기 가평군 가평읍 석봉로 166, 3층",klac3062@klac.or.kr,031-581-0053,031-581-0054,12418,"Seokbong-ro 166, 3rd Fl., Gapyeong-eup, -gun, Gyeonggi-do",Gapyeong Sub Branch
인천지부,인천 미추홀구 소성로 171(학익동) 대흥빌딩 7층 701호~704호 706호~707호 ,klac2001@klac.or.kr,032-874-3374,032-874-3379,22221,"171, Soseong-ro,  Michuhol-gu, Incheon City",Inchoen Chapter
강화지소,"인천광역시 강화군 강화읍 강화대로 306, 2층",klac3114@klac.or.kr,032-724-9100,032-934-0242,23025,"306, Ganghwa-daero, Ganghwa-eup, Ganghwa-gun, Incheon",GangHwa Branch
부천출장소,"경기 부천시 상일로 124, 다성빌딩  10층 1001호 ",klac3006@klac.or.kr,032-325-5322,032-325-6195,14623,"Sangil-ro 126, New Beopjo Town 8F-805, Wonmi-gu, Bucheon city, Gyeonggi-do",Bucheon Branch
김포지소,경기도 김포시 사우중로3번길 13-17 (사우동) 김포시 평생학습관 1층,klac3115@klac.or.kr,031-8049-7500,031-982-0240,10109,"Saujung-ro 3beon-gil, Gimpo-si, Gyeonggi-do, Republic of Korea",Gimpo Branch
수원지부,"경기도 수원시 영통구 월드컵로150번길 4, 행복프라자 3층",klac2002@klac.or.kr,031-213-0773,031-212-3181,16500,"4, World cup-ro 150beon-gil, Yeongtong-gu, Suwon city, Gyeonggi-do",Suwon Chapter
용인지소,"용인시 처인구 중부대로 1199, 용인시청 2층",klac3103@klac.or.kr,031-526-6439,031-321-6895,17019,"1199, Jungbu-daero, 2nd Fl., Cheoin-gu, Yongin-si, Gyeonggi-do",Yongin Sub Branch
오산지소,"경기도 오산시 궐리사로 59, 벧엘빌딩 2층",klac3110@klac.or.kr,031-8077-4790,031-372-9803,18121,"59, Gwollisa-ro, Osan-si, Gyeonggi-do",Osan Sub Branch
성남출장소,"경기 성남시 수정구 산성대로 439, 영인빌딩 7층 ",klac3007@klac.or.kr,031-748-6177,031-749-1566,13144,"Sanseong-daero 454gil 2, Shinwu Bldg. 5th Fl., Jungwon-gu, Seongnam city, Gyeonggi-do",Seongnam Branch
광주지소,경기도 광주시 행정타운로 49-6 2층 203호(송정동 350-200),klac3122@klac.or.kr,031-8027-6940,031-761-0710,12746,"BD 2F 203, 49-6, Haengjeong town-ro, Gwangju-si, Gyeonggi-do, Republic of Korea",Gwangju Sub Branch
여주출장소,경기도 여주시 현암로 21-9(현암동 665-6) 윤영빌딩 3층,klac3008@klac.or.kr,031-884-7640,031-883-7630,12638,"21-9, Hyeonam-ro, Yeoju-si, Gyeonggi-do",Yeoju Branch
평택출장소,경기도 평택시 평남로 1052 (동삭동) 근원빌딩 5층,klac3009@klac.or.kr,031-656-9144,031-655-1216,17848,"Geunwon Bldg. 5F,1052, Pyeongnam-ro, Pyeongtaek-si, Gyeonggi-do, Republic of Korea",Pyeongtaek Branch
안성지소,"경기도 안성시 시청길 25, 안성시청 3층",klac3111@klac.or.kr,031-8057-9360,031-672-6792,17586,"25, Sicheong-gil, Anseong-si, Gyeonggi-do",Anseong Sub Branch
안산출장소,경기 안산시 단원구 광덕서로 82 한남법조타운 3층 305호,klac3042@klac.or.kr,031-482-2769,031-482-2768,15471,"Gwangdeoksoe-ro 82, Hannam Beopjo Town, 3F-305, Gojan-dong, Danwon-gu, Ansan city, Gyeonggi-do",Ansan Branch
안양출장소,경기 안양시 동안구 부림로 166 우양타운 3층 301호,klac3045@klac.or.kr,031-382-6373,031-382-6375,14055,"166, Burim-ro, Dongan-gu, Anyang-si, Gyeonggi-do",Anyang Branch
춘천지부,강원 춘천시 공지로 293 화남빌딩 3층,klac2003@klac.or.kr,033-251-8301,033-244-8301,24372,"Gongji-ro 293, Hwanam Bldg. 3rd Fl., Chuncheon city, Gangwon-do",Chuncheon Chapter
인제지소,강원 인제군 인제읍 인제로 205번길 9 인제읍사무소 부속건물 1층,klac3064@klac.or.kr,033-463-4676,033-463-1322,24631,"Inje-ro 205gil 9, Inje Town Office Annex 1st Fl., Inje-eup, -gun, Gangwon-do",Inje Sub Branch
양구지소,강원도 양구군 양구읍 관공서로 14  구 보건소 1층,klac3065@klac.or.kr,033-482-1320,033-482-1322,24523,"Bibong-ro 73gil 52, Yanggu-gun Cultual Center 2nd Fl., Yanggu-eup, Gangwon-do",Yanggu Sub Branch
화천지소,강원도 화천군 화천읍 화천새싹길 45 화천군청 1층 민원실(재무과)내 ,klac3066@klac.or.kr,033-442-6755,033-442-6756,24125,"45, Hwacheonsaessak-gil, Hwacheon-eup, Hwacheon-gun, Gangwon-do",Hwacheon Sub Branch
강릉출장소,강원도 강릉시 난곡길 4(난곡동 108-11),klac3010@klac.or.kr,033-645-3163,033-646-3163,25463,"4, Nangok-gil, Gangneung-si, Gangwon-do",Gangneung Branch
삼척지소,"강원 삼척시 척주로 59, 3층 ",klac3046@klac.or.kr,033-576-0620,033-576-0621,25922,"Cheokju-ro 59, 3rd Fl., Samcheok city, Gangwon-do",Samcheok Sub Branch
동해지소,강원 동해시 천곡1길 20-3 동해시청 제1별관 3층,klac3047@klac.or.kr,033-534-3195,033-534-3196,25755,"Cheongok 1gil 20-3, Donghae City Hall 1st Annex 3rd Fl., Donghae city, Gangwon-do",Donghae Sub Branch
원주출장소,강원 원주시 시청로 1 원주시청 9층,klac3011@klac.or.kr,033-748-0763,033-746-0763,26384,"Sicheong-ro 1ga, Wonju City Hall 9th Fl., Wonju city, Gangwon-do",Wonju Branch
횡성지소,강원도 횡성군 횡성읍 횡성로 374 2층,klac3076@klac.or.kr,033-343-1320,033-344-1320,22580,"374, Hoengseong-ro, Hoengseong-eup, Hoengseong-gun, Gangwon-do",Hoengseong Sub Branch
속초출장소,"강원도 속초시 법대로 13, 2층 (동명동) ",klac3012@klac.or.kr,033-636-8511,033-636-8512,24822,"Beopdae-ro 13, Dongmyeong Bldg. 2nd Fl., Sokcho city, Gangwon-do",Sokcho Branch
영월출장소,"강원 영월군 영월읍 중앙로 128, 덕포우체국 2층",klac3013@klac.or.kr,033-373-1910,033-374-1910,26229,"128, Jungang-ro, Yeongwol-eup, Yeongwol-gun, Gangwon-do",Yeoungwol Branch
정선지소,강원 정선군 정선읍 봉양7길 16 정선종합사회복지관 1층,klac3077@klac.or.kr,033-562-1320,033-562-1330,26130,"Bongyang 7gil, Jeongseon-eup, Jeongseon-gun, Gangwon-do",Jeongseon Sub Branch
태백지소,강원 태백시 황지로 81 정민빌딩 2층,klac3048@klac.or.kr,033-552-3066,033-552-3067,26020,"Hwangji-ro 81, Jeongmin Bldg. 2nd Fl., Taebaek city, Gangwon-do",Taebaek Sub Branch
평창지소,"강원도 평창군 평창읍 종부로 61 (종부리), (구)평창군보건의료원 2층 ",klac3078@klac.or.kr,033-335-1320,033-334-1330,25377,"61, Jongbu-ro, Pyeongchang-eup, Pyeongchang-gun, Gangwon-do, Republic of Korea",Pyeongchang Sub Branch
대전지부,대전 서구 둔산북로 121 아너스빌 3층 308호,klac2004@klac.or.kr,042-472-9061,042-487-9077,35236,"121, Dunsanbuk-ro, Seo-gu, Daejeon",Daejeon Chapter
홍성출장소,"충청남도 홍성군 홍성읍 월산로50번길 11 (월산리), 은하빌딩 제302호 ",klac3014@klac.or.kr,041-634-4476,041-634-4480,32226,"11, Wolsan-ro 50beon-gil, Hongseong-eup, Hongseong-gun, Chungcheongnam-do, Republic of Korea",Hongseong Branch
서천지소,"충남 서천군 서천읍 서문로 23, 2층",klac3049@klac.or.kr,041-952-0372,041-952-0362,33645,"Seomun-ro 23, 2nd Fl., Seocheon-eup, Seocheon-gun, Chungcheongnam-do",Seocheon Sub Branch
보령지소,충남 보령시 터미널길 29 보령우체국 3층,klac3050@klac.or.kr,041-931-0518,041-931-0517,33458,"Terminal-gil 29 , Boryeong Post Office 3rd Fl., Boryeong city, Chungcheongnam-do",Boryung Sub Branch
예산지소,"충남 예산군 예산읍 벚꽃로 155번길 28, GM빌딩 3층",klac3092@klac.or.kr,041-333-9134,041-333-9135,32428,"28, Beotkkot-ro 155beon-gil, Yesan-eup, Yesan-gun, Chungcheongnam-do",Yesan Sub Branch
공주출장소,충남 공주시 한적2길 47 성화빌딩 2층,klac3015@klac.or.kr,041-857-6132,041-857-6131,32569,"Ucheguk-gil 6, Hanguk Gallery 2nd Fl., Banjuk-dong, Gongju city, Chungcheongnam-do",Gongju Branch
청양지소,충남 청양군 청양읍 중앙로 155-4 (주)KT 2층,klac3093@klac.or.kr,041-942-9758,041-942-9759,33328,"155-4, Jungang-ro, Cheongyang-eup, Cheongyang-gun, Chungcheongnam-do",Cheongyang Sub Branch
논산출장소,충남 논산시 강경읍 계백로 100 (주)KT 1층,klac3016@klac.or.kr,041-745-4478,041-745-4479,32939,"Gyebaek-ro 100, 1st Fl., Ganggyeong-eup, Nonsan city, Chungcheongnam-do",Nonsan Branch
부여지소,충남 부여군 부여읍 사비로 41 군민회관 2층,klac3051@klac.or.kr,041-832-9932,041-832-9931,33153,"Sabi-ro 41, Gunmin Hoegwan 2nd Fl., Buyeo-eup, -gun, Chungcheongnam-do",Buyeo Sub Branch
서산출장소,"충남 서산시 공림4로 22(예천동), 현지빌딩 4층",klac3017@klac.or.kr,041-667-4054,041-667-2150,31988,"22, Gongnim 4-ro, Seosan-si, Chungcheongnam-do, in Seosan Branch Prosecutor Office",Seosan Branch
당진지소,충남 당진시 청룡길 135 영진빌딩 2층,klac3094@klac.or.kr,041-352-3957,041-352-3958,31777,"140, Gyodong-gil, Dangjin-si, Chungcheongnam-do",Dangjin Sub Branch
천안출장소,"충남 천안시 동남구 청수11로 26, 8층 (청당동, 킨타워) ",klac3018@klac.or.kr,041-563-6174,041-562-6175,31198,"Chungjeol-ro 42, Gyeongnam Bldg. 3rd Fl., Cheonan city, Chungcheongnam-do",Cheonan Branch
아산지소,충청남도 아산시 온천대로 1550 (온천동) 법조빌딩 3층,klac3116@klac.or.kr,041-424-4100,041-541-0240,31520,"1550, Oncheon-daero, Asan-si, Chungcheongnam-do",Asan Branch
청주지부,"충북 청주시 서원구 산남로 70번길 18, 뉴월드프라자 602호 ",klac2005@klac.or.kr,043-284-7777,043-284-7776,28625,"18, Sannam-ro 70beon-gil, Seowon-gu, Cheongju-si, Chungcheongbuk-do",Cheongju Chapter
보은지소,충북 보은군 보은읍 삼산로 50(보은읍 행정복지센타 2층),klac3104@klac.or.kr,043-715-6026,043-542-0695,28947,"38 Guncheong-gil, Boeun-eup, Boeun-gun, Chungcheongbuk-do",Boeun Sub Branch
괴산지소,충북 괴산군 괴산읍 문무로 12 괴산읍사무소 임시청사 1층,klac3067@klac.or.kr,043-833-2132,043-834-0132,28025,"Munmu-ro 12, Goesan-eup Office F1., Goesan-eup, Goesan-gun, Chungcheongbuk-do",Goesan Sub Branch
진천지소,충북 진천군 진천읍 상산로 13 진천군청 내 농협출장소 1층,klac3068@klac.or.kr,043-532-5132,043-532-7132,27832,"Sangsan-ro 13 Jincheon County Hall 1st Fl., Jincheon-eup, -gun, Chungcheongbuk-do",Jincheon Sub Branch
충주출장소,충청북도 충주시 계명대로 24 덕창빌딩 5층,klac3019@klac.or.kr,043-854-0402,043-856-0402,27361,"24, Gyemyeong-daero, Chungju-si, Chungcheongbuk-do, Republic of Korea",Chungju Branch
음성지소,충북 음성군 음성읍 중앙로 89 (주)KT 1층,klac3069@klac.or.kr,043-872-2132,043-872-9132,27704,"Jungang-ro 89, KT Telecom Bldg. 1st Fl., Eumseong-eup, -gun, Chungcheongbuk-do",Eumseong Sub Branch
제천출장소,충북 제천시 풍양로 65 (주)KT 4층,klac3020@klac.or.kr,043-646-5011,043-644-1158,27169,"Pungyang-ro 65, KT Telecom Bldg., Jecheon City, Chungcheongbuk-do",Jecheon Branch
영동출장소,충북 영동군 영동읍 영동황간로 61 1층,klac3021@klac.or.kr,043-744-9600,043-744-8554,29150," 61, Yeongdonghwanggan-ro, Yeongdong-eup, Yeongdong-gun, Chungcheongbuk-do",Yeongdong Branch
대구지부,대구 수성구 동대구로 345 범어역 우방 유쉘메디치 5층 501호,klac2006@klac.or.kr,053-743-1321,053-745-1321,42013,"Dongdaegu-ro 345 Beomeo Station Ubang Ushellmedici 5th Fl., Suseong-gu, Daegu City",Daegu Chapter
청도지소,경상북도 청도군 화양읍 청화3길 10 ,klac3105@klac.or.kr,054-373-8437,054-371-1953,38329,"10, Cheonghwa 3-gil, 2nd Fl., Hwayang-eup, Cheongdo-gun, Gyeongsangbuk-do",Cheongdo Sub Branch
영천지소,경상북도 영천시 역전로 36,klac3106@klac.or.kr,054-705-6076,054-331-4175,38891,"36, Yeokjeon-ro, KT Telecom Bldg. 3rd Fl., Yeongcheon-si, Gyeongsangbuk-do",Yeongcheon Sub Branch
칠곡지소,경북 칠곡군 왜관읍 군청1길 80 칠곡군청 별관,klac3079@klac.or.kr,054-976-5132,054-976-5135,39888,"Guncheong 1gil 80, Waegwan-eup, Chilgok-gun, Gyeongsangbuk-do",Chilgok Sub Branch
대구서부출장소,대구 달서구 용산로 141 (용산동) 그랜드M타워 9층 ,klac3044@klac.or.kr,053-561-0069,053-573-1321,42637,"Jangsannam-ro 40, Dalseo-gu, Daegu City, in Seobu Branch Prosecutor Office",Western Chapter
성주지소,"경북 성주군 성주읍 성주로 3200, 성주군청 별관 2층",klac3080@klac.or.kr,054-932-5132,054-932-5134,40022,"3200, Seongju-ro, Seongju-eup, Seongju-gun, Gyeongsangbuk-do, Rep. of KOREA",Seongju Sub Branch
고령지소,경북 고령군 대가야읍 우륵로 78 고령군산림조합건물 1층 ,klac3081@klac.or.kr,054-956-5132,054-956-5135,40135,"Ureuk-ro 78, Goryeong-eup, Goryeong-gun, Gyeongsangbuk-do",Goryeong Sub Branch
안동출장소,"경북 안동시 강남5길 20-20, 201호(정하동,지엔빌딩)",klac3022@klac.or.kr,054-856-2595,054-856-2596,36751,"20-20, Gangnam 5-gil, Andong-si, Gyeongsangbuk-do",Andong Branch
영주지소,"경북 영주시 대동로 167, 2층",klac3052@klac.or.kr,054-634-0338,054-634-0339,36109,"Daedong-ro 167, 2nd Fl., Yeongju city, Gyeongsangbuk-do",Yeongju Sub Branch
경주출장소,경북 경주시 화랑로 94-1 (동부동) 화성빌딩4층 ,klac3023@klac.or.kr,054-775-5553,054-741-6111,38154,"94-1, Hwarang-ro, Gyeongju-si, Gyeongsangbuk-do",Gyeongju Branch
김천출장소,경북 김천시 문당길 142,klac3024@klac.or.kr,054-433-1780,054-431-1780,39518,"Mundang-gil 142, Gimcheon City, Gyeongsangbuk-do, in KLAC Law-related Education Center",Gimcheon Branch
구미지소,"경상북도 구미시 봉곡로 108 (봉곡동, 명성빌딩) 2층",klac3120@klac.or.kr,054-810-5890,054-452-5025,39210,"Myungsung BD F2, 108, Bonggok-ro, Gumi-si, Gyeongsangbuk-do, Republic of Korea",Gumi Sub Branch
상주출장소,"경북 상주시 북천로 39-1, 그린그레스빌딩 1층",klac3025@klac.or.kr,054-535-3277,054-534-3277,37160,"39-1, Bukcheon-ro, Sangju-si, Gyeongsangbuk-do",Sangju Branch
예천지소,"경북 예천군 예천읍 백전고원길 2, 2층",klac3053@klac.or.kr,054-652-0568,054-652-0567,36821,"Baekjeongowon-gil 2, 2nd Fl., Yecheon-eup, -gun, Gyeongsangbuk-do",Yecheon Sub Branch
문경지소,경북 문경시 남부3길 19(모전동 74-4),klac3054@klac.or.kr,054-552-0701,054-553-0907,36950,"19, Nambu 3-gil, Mungyeong-si, Gyeongsangbuk-do",Mungyeong Sub Branch
의성출장소,경북 의성군 의성읍 군청길 67 대구지검 의성지청 내 ,klac3026@klac.or.kr,054-833-5402,054-832-5502,37339,"Guncheong-gil 67, Uiseong-eup, -gun, Gyeongsangbuk-do, in Uiseong Branch Prosecutor Office",Uiseong Branch
청송지소,"경상북도 청송군 청송읍 금곡1길 28 (금곡리, 청송군체육관) 1층",klac3070@klac.or.kr,054-873-3676,054-873-3675,37433,"28, Geumgok 1-gil, Cheongsong-eup, Cheongsong-gun, Gyeongsangbuk-do, Republic of Korea",Cheongsong Sub Branch
영덕출장소,경상북도 영덕군 영덕읍 화개길 33 (화개리 203-11),klac3027@klac.or.kr,054-734-1745,054-734-1746,36429,"Gyeongdong-ro 8335, Yeongdeok-eup, -gun, Gyeongsangbuk-do, in Yeongdeok Branch Prosecutor Office",Yeongduk Branch
울진지소,경북 울진군 울진읍 울진중앙로 53 (구 울진남부어린이집 1층),klac3071@klac.or.kr,054-782-3676,054-782-3674,36326,"Uljin Jungang-ro 115-21, Uljin Gunmin Center 2nd Fl., Uljin-eup, -gun, Gyeongsangbuk-do",Uljin Sub Branch
영양지소,"경북 영양군 영양읍 석영로 1419, KT 영양지사 3층",klac3072@klac.or.kr,054-682-3676,054-682-3674,36538,"1419, Seogyeong-ro, Yeongyang-eup, Yeongyang-gun, Gyeongsangbuk-do",Yeongyang Sub Branch
포항출장소,경북 포항시 북구 법원로 179 대유빌딩 5층 ,klac3041@klac.or.kr,054-251-6111,054-251-0831,37572,"Beopwon-ro 179, Buk-gu, Pohang City, Gyeongsangbuk-do, Daeyoo Building, 5th floor",Pohang Branch
부산지부,"부산 연제구 법원로 20, 로제스티(동주)빌딩 2층, 3층 ",klac2007@klac.or.kr,051-505-1648,051-501-8398,47511,"Beopwon-ro 20, Lojesty Bldg. 2nd Fls., Yeonje-gu, Busan City",Busan Chapter
부산동부출장소,부산 해운대구 재반로 176 미진빌딩 4층,klac3028@klac.or.kr,051-781-0710,051-782-0316,48052,"176, Jaeban-ro, Haeundae-gu, Busan",Eastern Branch
부산서부출장소,부산 강서구 명지국제8로 230 산양타워1동 8층 801호 ,klac3119@klac.or.kr,051-710-7480,051-710-7489,46726,"230, Myeongjigukje 8-ro, Gangseo-gu, Busan",Busan Western Branch
울산지부,"울산광역시 남구 법대로14번길 31, 울산법조빌딩 2층 201호",klac3029@klac.or.kr,052-257-4676,052-257-2829,44643,"4, Beopdae-ro 81beon-gil, Nam-gu, Ulsan City",Ulsan Chapter
창원지부,"경남 창원시 성산구 창이대로 689번길 4-32, 4층(오션타워) ",klac2008@klac.or.kr,055-266-3381,055-281-2116,51457,"Changi-daero 689 4-32, 4th Fl., Changwon city, Gyeongsangnam-do",Changwon Chapter
김해지소,경상남도 김해시 우암로 175 김해법조타운 3층 304호,klac3112@klac.or.kr,055-724-4280,055-321-5370,50944,"304 3F, 175, Uam-ro, Gimhae-si, Gyeongsangnam-do, Republic of Korea",Gimhae Sub Branch
마산출장소,경남 창원시 마산합포구 동서동3길 16 신우희가로밀리온아파트상가 501호 ,klac3091@klac.or.kr,055-247-7341,055-247-7343,51719,"16, Dongseodong 3-gil, Masanhappo-gu, Changwon-si, Gyeongsangnam-do",Masan Sub Branch
함안지소,"경남 함안군 가야읍 가야로 95, 3층",klac3095@klac.or.kr,055-584-4676,055-584-4677,52040,"95, Gaya-ro, Gaya-eup, Haman-gun, Gyeongsangnam-do",Haman Sub Branch
의령지소,경남 의령군 의령읍 의병로 24길 31-1 의령군민문화회관 1층,klac3096@klac.or.kr,055-574-4676,055-574-4677,52144,"3-11, Uibyeong-ro 24-gil, Uiryeong-eup, Uiryeong-gun, Gyeongsangnam-do",Uiryeong Sub Branch
진주출장소,"경남 진주시 진양호로293번길 16-6, 승소빌딩 6층",klac3030@klac.or.kr,055-755-6922,055-755-6920,52676,"16-6, Jinnyangho-ro 293beon-gil, Jinju-si, Gyeongsangnam-do",Jinju Branch
하동지소,경남 하동군 하동읍 군청로 23 하동군청 본관 1층,klac3055@klac.or.kr,055-884-4670,055-884-4672,52333,"Guncheong-ro 23, Hadong County Hall, Annex Bldg. 1st Fl., Hadong-eup gun, Gyeongsangnam-do",Hadong Sub Branch
사천지소,경남 사천시 용현면 시청로 77 사천시청 민원동 2층 ,klac3056@klac.or.kr,055-835-1666,055-835-1669,52539,"77, Sicheong-ro, Yonghyeon-myeon, Sacheon city, Gyeongsangnam-do",Sacheon Sub Branch
남해지소,"경남 남해군 남해읍 화전로 87, 2층",klac3057@klac.or.kr,055-863-6038,055-863-6039,52420,"Hwajeon-ro 87, 2nd Fl., Namhae-eup, -gun, Gyeongsangnam-do",Namhae Sub Branch
산청지소,"경남 산청군 산청읍 산엔청로 1, 산청군청 신관 3층",klac3082@klac.or.kr,055-974-3386,055-974-3387,52221,"1, Sanencheong-ro, Sancheong-eup, Sancheong-gun, Gyeongsangnam-do",Sancheong Sub Branch
통영출장소,"경남 통영시 용남면 동달안길 38, 통영법조타운 4층",klac3031@klac.or.kr,055-649-1830,055-648-1830,53029,"38, Dongdaran-gil, Yongnam-myeon, Tongyeong-si, Gyeongsangnam-do",Tongyeong Branch
고성지소,경남 고성군 고성읍 성내로 130 고성군청 남별관 1층,klac3097@klac.or.kr,055-673-4636,055-673-4637,52943,"130, , Goseong-eup, Goseong-gun, Gyeongsangnam-do",Goseong Sub Branch
밀양출장소,"경남 밀양시 시청서길 15, 화승빌딩(구.송림빌딩) 4층",klac3032@klac.or.kr,055-356-5131,055-356-5132,50419,"15, Sicheongseo-gil, Miryang-si, Gyeongsangnam-do",Milyang Branch
창녕지소,"경남 창녕군 창녕읍 군청길 1, 창녕군청 별관(행복관) 2층",klac3107@klac.or.kr,055-533-9814,055-532-5176,50317,"1, Guncheong-gil, 2nd Fl., Changnyeong-eup, Changnyeong-gun, Gyeongsangnam-do",Changnyeong Sub Branch
거창출장소,경남 거창군 거창읍 거열로 4길 28,klac3033@klac.or.kr,055-942-8436,055-943-8435,50129,"Geoyeol-ro 4gil 28, Sangrim-ri, Geochang-eup, -gun, Gyeongsangnam-do",Geochang Branch
합천지소,경남 합천군 합천읍 황강체육공원로 93 문화예술회관 3층,klac3083@klac.or.kr,055-934-1315,055-934-1316,50238,"Hwanggangcheyukgongwon-ro 93, Hapcheon-eup, Hapcheon-gun, Gyeongsangnam-do",Hapcheon Sub Branch
함양지소,경남 함양군 함양읍 고운로 34 (기관단체청사 1층 103호),klac3084@klac.or.kr,055-963-9029,055-963-9030,50041,"34, Goun-ro, Hamyang-eup, Hamyang-gun, Gyeongsangnam-do",Hamyang Sub Branch
광주지부,"광주 동구 준법로 3, 2층",klac2009@klac.or.kr,062-224-7806,062-224-7807,61441,"Junbeop-ro 3, 2nd Fl., Dong-gu, Gwangju City",Gwangju Chapter
곡성지소,전라남도 곡성군 곡성읍 중앙로 59 (읍내리) 곡성군민회관 2층,klac3117@klac.or.kr,061-884-7400,061-363-0240,57537,"59, Jungang-ro, Gokseong-eup, Gokseong-gun, Jeollanam-do",Gokseong Branch
영광지소,전라남도 영광군 영광읍 물무로2길 3,klac3108@klac.or.kr ,061-351-8981,061-351-6985,57036,"3, Mulmu-ro 2-gil, KT Telecom Bldg. 3rd Fl., Yeonggwang-eup, Yeonggwang-gun, Jeollanam-do",Yeonggwang Sub Branch
나주지소,전남 나주시 시청길 22 나주시청 시민봉사과 내 ,klac3098@klac.or.kr,061-334-7805,061-334-7807,58263,"22, Fl., Sicheong-gil, Naju-si, Jeollanam-do",Naju Sub Branch
화순지소,전남 화순군 화순읍 동헌길 21-7 (주)KT 3층,klac3085@klac.or.kr,061-375-7806,061-375-7807,58112,"Donghungil 21-7, Hwasun-eup, Hwasun-gun, Jeollanam-do",Hwasun Sub Branch
목포출장소,전라남도 목포시 정의로 10 정의빌딩 2층,klac3034@klac.or.kr,061-277-2002,061-287-4005,58671,"10, Jeongui-ro, Mokpo-si, Jeollanam-do ",Mokpo Branch
함평지소,"전라남도 함평군 함평읍 중앙길 39, 함평군노인복지회관 1층",klac3118@klac.or.kr,061-894-8400,061-324-0242,57153,"39, Jungang-gil, Hampyeong-eup, Hampyeong-gun, Jellanam-do",Hampyeong Branch
영암지소,전남 영암군 영암읍 열무정로 14 2층,klac3099@klac.or.kr,061-473-7806,061-473-7807,58417,"14, f Yeolmujeong-ro, Yeongam-eup, Yeongam-gun, Jeollanam-do",Yeongam Sub Branch
무안지소,전남 무안군 무안읍 무안로 530 무안군청 후생관 2층 ,klac3100@klac.or.kr,061-454-7806,061-454-7807,58532,"530, Muan-ro, Muan-eup, Muan-gun, Jeollanam-do",Muan Sub Branch
